country,region,year,forecast_year,predicted_conflict_probability,predicted_probability_percent,risk_level,risk_level_description,predicted_conflict_next_year,target_conflict_next_year,prediction_result,main_explanation_groups,top_positive_factors,top_negative_factors,short_explanation,explanation_text,technical_warning
Uganda,Africa,2023,2024,0.9240055839296284,92.4%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB,"Uganda: 92.4% de risco estimado para 2024, classificado como risco muito alto.","Para Uganda, o modelo estimou 92.4% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Thailand,Asia,2023,2024,0.9210597613256976,92.1%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento populacional anual,"Thailand: 92.1% de risco estimado para 2024, classificado como risco muito alto.","Para Thailand, o modelo estimou 92.1% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento populacional anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Honduras,Americas,2023,2024,0.9177651903244222,91.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; quantidade de díades de conflito não estatal,existência de conflito não estatal; existência de violência unilateral; crescimento anual do PIB,"Honduras: 91.8% de risco estimado para 2024, classificado como risco muito alto.","Para Honduras, o modelo estimou 91.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; quantidade de díades de conflito não estatal. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Benin,Africa,2023,2024,0.9167107753520846,91.7%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB,"Benin: 91.7% de risco estimado para 2024, classificado como risco muito alto.","Para Benin, o modelo estimou 91.7% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Turkey,Middle East,2023,2024,0.892928308055665,89.3%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; existência de violência unilateral; matrícula no ensino secundário,"Turkey: 89.3% de risco estimado para 2024, classificado como risco muito alto.","Para Turkey, o modelo estimou 89.3% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; matrícula no ensino secundário.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Tunisia,Africa,2023,2024,0.8887010857305689,88.9%,very_high,risco muito alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; desemprego; crescimento populacional anual,"Tunisia: 88.9% de risco estimado para 2024, classificado como risco muito alto.","Para Tunisia, o modelo estimou 88.9% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; desemprego; crescimento populacional anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Algeria,Africa,2023,2024,0.8865053857081961,88.7%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; matrícula no ensino secundário; desemprego,"Algeria: 88.7% de risco estimado para 2024, classificado como risco muito alto.","Para Algeria, o modelo estimou 88.7% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; matrícula no ensino secundário; desemprego.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Azerbaijan,Europe,2023,2024,0.874602957299001,87.5%,very_high,risco muito alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; crescimento populacional anual; mortes acumuladas nos últimos 5 anos,"Azerbaijan: 87.5% de risco estimado para 2024, classificado como risco muito alto.","Para Azerbaijan, o modelo estimou 87.5% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; crescimento populacional anual; mortes acumuladas nos últimos 5 anos.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Libya,Africa,2023,2024,0.8685694760988123,86.9%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; crescimento anual do PIB; desemprego,"Libya: 86.9% de risco estimado para 2024, classificado como risco muito alto.","Para Libya, o modelo estimou 86.9% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; crescimento anual do PIB; desemprego.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
South Africa,Africa,2023,2024,0.8669155818017668,86.7%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; quantidade de díades de conflito não estatal,existência de conflito não estatal; desemprego; existência de violência unilateral,"South Africa: 86.7% de risco estimado para 2024, classificado como risco muito alto.","Para South Africa, o modelo estimou 86.7% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; quantidade de díades de conflito não estatal. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; desemprego; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Togo,Africa,2023,2024,0.8660144818575386,86.6%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; existência de conflito intraestatal; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB,"Togo: 86.6% de risco estimado para 2024, classificado como risco muito alto.","Para Togo, o modelo estimou 86.6% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; existência de conflito intraestatal; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Armenia,Europe,2023,2024,0.8519799225297238,85.2%,very_high,risco muito alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; crescimento anual do PIB; crescimento populacional anual,"Armenia: 85.2% de risco estimado para 2024, classificado como risco muito alto.","Para Armenia, o modelo estimou 85.2% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; crescimento anual do PIB; crescimento populacional anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Lebanon,Middle East,2023,2024,0.8383276979475452,83.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; indicadores socioeconômicos World Bank; persistência temporal de conflito,quantidade de díades de conflito estatal; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; crescimento populacional anual; desemprego,"Lebanon: 83.8% de risco estimado para 2024, classificado como risco muito alto.","Para Lebanon, o modelo estimou 83.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; indicadores socioeconômicos World Bank; persistência temporal de conflito. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; crescimento populacional anual; desemprego.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Peru,Americas,2023,2024,0.8293681908174708,82.9%,very_high,risco muito alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; matrícula no ensino secundário; PIB per capita,"Peru: 82.9% de risco estimado para 2024, classificado como risco muito alto.","Para Peru, o modelo estimou 82.9% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; matrícula no ensino secundário; PIB per capita.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Saudi Arabia,Middle East,2023,2024,0.8117042624628157,81.2%,very_high,risco muito alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; PIB per capita; inflação anual,"Saudi Arabia: 81.2% de risco estimado para 2024, classificado como risco muito alto.","Para Saudi Arabia, o modelo estimou 81.2% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; PIB per capita; inflação anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Guatemala,Americas,2023,2024,0.8080086822399376,80.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; frequência de conflito nos últimos 5 anos; quantidade de díades de conflito não estatal,existência de conflito não estatal; existência de violência unilateral; gasto militar como percentual do PIB,"Guatemala: 80.8% de risco estimado para 2024, classificado como risco muito alto.","Para Guatemala, o modelo estimou 80.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; frequência de conflito nos últimos 5 anos; quantidade de díades de conflito não estatal. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; existência de violência unilateral; gasto militar como percentual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Morocco,Africa,2023,2024,0.8042397495796229,80.4%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; existência de conflito intraestatal; frequência de conflito nos últimos 5 anos,existência de conflito estatal no ano-base; desemprego; crescimento anual do PIB,"Morocco: 80.4% de risco estimado para 2024, classificado como risco muito alto.","Para Morocco, o modelo estimou 80.4% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; existência de conflito intraestatal; frequência de conflito nos últimos 5 anos. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; desemprego; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
China,Asia,2023,2024,0.7945997534969037,79.5%,high,risco alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; indicadores socioeconômicos World Bank; persistência temporal de conflito,população total; existência de violência organizada no ano-base; existência de conflito intraestatal,existência de conflito estatal no ano-base; crescimento populacional anual; crescimento anual do PIB,"China: 79.5% de risco estimado para 2024, classificado como risco alto.","Para China, o modelo estimou 79.5% de probabilidade de violência organizada em 2024, classificando o caso como risco alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; indicadores socioeconômicos World Bank; persistência temporal de conflito. Sinais que elevaram a estimativa: população total; existência de violência organizada no ano-base; existência de conflito intraestatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; crescimento populacional anual; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Papua New Guinea,Asia,2023,2024,0.7632948523447602,76.3%,high,risco alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral,existência de violência unilateral; crescimento anual do PIB; gasto militar como percentual do PIB,"Papua New Guinea: 76.3% de risco estimado para 2024, classificado como risco alto.","Para Papua New Guinea, o modelo estimou 76.3% de probabilidade de violência organizada em 2024, classificando o caso como risco alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de violência unilateral; crescimento anual do PIB; gasto militar como percentual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Kingdom of eSwatini (Swaziland),Africa,2023,2024,0.726969502589635,72.7%,high,risco alto,1,0,false_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; quantidade de díades de violência unilateral,desemprego; existência de violência unilateral; crescimento populacional anual,"Kingdom of eSwatini (Swaziland): 72.7% de risco estimado para 2024, classificado como risco alto.","Para Kingdom of eSwatini (Swaziland), o modelo estimou 72.7% de probabilidade de violência organizada em 2024, classificando o caso como risco alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: desemprego; existência de violência unilateral; crescimento populacional anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Mauritania,Africa,2023,2024,0.689129397342568,68.9%,high,risco alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; existência de conflito intraestatal; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; crescimento anual do PIB; desemprego,"Mauritania: 68.9% de risco estimado para 2024, classificado como risco alto.","Para Mauritania, o modelo estimou 68.9% de probabilidade de violência organizada em 2024, classificando o caso como risco alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; existência de conflito intraestatal; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; crescimento anual do PIB; desemprego.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Ghana,Africa,2023,2024,0.6172597008899549,61.7%,high,risco alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; quantidade de díades de conflito não estatal; conflito no ano anterior,existência de conflito não estatal; gasto militar como percentual do PIB; crescimento anual do PIB,"Ghana: 61.7% de risco estimado para 2024, classificado como risco alto.","Para Ghana, o modelo estimou 61.7% de probabilidade de violência organizada em 2024, classificando o caso como risco alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; quantidade de díades de conflito não estatal; conflito no ano anterior. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; gasto militar como percentual do PIB; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Tanzania,Africa,2023,2024,0.5360560538993169,53.6%,moderate,risco moderado,1,1,true_positive,persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral,frequência de conflito nos últimos 5 anos; conflito no ano anterior; crescimento populacional anual,crescimento anual do PIB; gasto militar como percentual do PIB; inflação anual,"Tanzania: 53.6% de risco estimado para 2024, classificado como risco moderado.","Para Tanzania, o modelo estimou 53.6% de probabilidade de violência organizada em 2024, classificando o caso como risco moderado. Os principais grupos associados à estimativa foram: persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; conflito no ano anterior; crescimento populacional anual. Sinais que reduziram a estimativa no modelo: crescimento anual do PIB; gasto militar como percentual do PIB; inflação anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Bolivia,Americas,2023,2024,0.4753051151545031,47.5%,moderate,risco moderado,0,0,true_negative,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,existência de violência organizada no ano-base; quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos,existência de conflito não estatal; inflação anual; gasto militar como percentual do PIB,"Bolivia: 47.5% de risco estimado para 2024, classificado como risco moderado.","Para Bolivia, o modelo estimou 47.5% de probabilidade de violência organizada em 2024, classificando o caso como risco moderado. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; inflação anual; gasto militar como percentual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Rwanda,Africa,2023,2024,0.4454752837817058,44.5%,moderate,risco moderado,0,1,false_negative,persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral,frequência de conflito nos últimos 5 anos; conflito no ano anterior; matrícula no ensino secundário,crescimento anual do PIB; desemprego; gasto militar como percentual do PIB,"Rwanda: 44.5% de risco estimado para 2024, classificado como risco moderado.","Para Rwanda, o modelo estimou 44.5% de probabilidade de violência organizada em 2024, classificando o caso como risco moderado. Os principais grupos associados à estimativa foram: persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; conflito no ano anterior; matrícula no ensino secundário. Sinais que reduziram a estimativa no modelo: crescimento anual do PIB; desemprego; gasto militar como percentual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
France,Europe,2023,2024,0.4142779708374979,41.4%,moderate,risco moderado,0,1,false_negative,histórico e intensidade de conflitos UCDP; indicadores socioeconômicos World Bank; persistência temporal de conflito,existência de violência organizada no ano-base; quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral,PIB per capita; existência de conflito não estatal; existência de violência unilateral,"France: 41.4% de risco estimado para 2024, classificado como risco moderado.","Para France, o modelo estimou 41.4% de probabilidade de violência organizada em 2024, classificando o caso como risco moderado. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; indicadores socioeconômicos World Bank; persistência temporal de conflito. Sinais que elevaram a estimativa: existência de violência organizada no ano-base; quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: PIB per capita; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Tajikistan,Asia,2023,2024,0.3759440799652959,37.6%,low,risco baixo,0,0,true_negative,persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral,frequência de conflito nos últimos 5 anos; conflito no ano anterior; crescimento populacional anual,crescimento anual do PIB; desemprego; população urbana,"Tajikistan: 37.6% de risco estimado para 2024, classificado como risco baixo.","Para Tajikistan, o modelo estimou 37.6% de probabilidade de violência organizada em 2024, classificando o caso como risco baixo. Os principais grupos associados à estimativa foram: persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; conflito no ano anterior; crescimento populacional anual. Sinais que reduziram a estimativa no modelo: crescimento anual do PIB; desemprego; população urbana.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Congo,Africa,2023,2024,0.3277412919218015,32.8%,low,risco baixo,0,0,true_negative,persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral,frequência de conflito nos últimos 5 anos; conflito no ano anterior; crescimento populacional anual,desemprego; inflação anual; população total,"Congo: 32.8% de risco estimado para 2024, classificado como risco baixo.","Para Congo, o modelo estimou 32.8% de probabilidade de violência organizada em 2024, classificando o caso como risco baixo. Os principais grupos associados à estimativa foram: persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; conflito no ano anterior; crescimento populacional anual. Sinais que reduziram a estimativa no modelo: desemprego; inflação anual; população total.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Senegal,Africa,2023,2024,0.3168120916610844,31.7%,low,risco baixo,0,0,true_negative,persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral,frequência de conflito nos últimos 5 anos; matrícula no ensino secundário; crescimento populacional anual,crescimento anual do PIB; gasto militar como percentual do PIB; população urbana,"Senegal: 31.7% de risco estimado para 2024, classificado como risco baixo.","Para Senegal, o modelo estimou 31.7% de probabilidade de violência organizada em 2024, classificando o caso como risco baixo. Os principais grupos associados à estimativa foram: persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; matrícula no ensino secundário; crescimento populacional anual. Sinais que reduziram a estimativa no modelo: crescimento anual do PIB; gasto militar como percentual do PIB; população urbana.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
El Salvador,Americas,2023,2024,0.3162730831419159,31.6%,low,risco baixo,0,0,true_negative,persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral,frequência de conflito nos últimos 5 anos; conflito no ano anterior; matrícula no ensino secundário,crescimento populacional anual; crescimento anual do PIB; inflação anual,"El Salvador: 31.6% de risco estimado para 2024, classificado como risco baixo.","Para El Salvador, o modelo estimou 31.6% de probabilidade de violência organizada em 2024, classificando o caso como risco baixo. Os principais grupos associados à estimativa foram: persistência temporal de conflito; indicadores socioeconômicos World Bank; tendência temporal geral. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; conflito no ano anterior; matrícula no ensino secundário. Sinais que reduziram a estimativa no modelo: crescimento populacional anual; crescimento anual do PIB; inflação anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
