country,region,year,forecast_year,organized_violence_exists,target_conflict_next_year,predicted_conflict_next_year,predicted_conflict_probability,predicted_probability_percent,risk_level,risk_level_description,prediction_result,predictive_statement
Belize,Americas,2023,2024,0,0,0,0.0416722284890947,4.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 4.2% de probabilidade de violência organizada em 2024 para Belize (risco muito baixo)."
Suriname,Americas,2023,2024,0,0,0,0.0398916973746555,4.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 4.0% de probabilidade de violência organizada em 2024 para Suriname (risco muito baixo)."
Federated States of Micronesia,Asia,2023,2024,0,0,0,0.0398380620167289,4.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 4.0% de probabilidade de violência organizada em 2024 para Federated States of Micronesia (risco muito baixo)."
North Korea,Asia,2023,2024,0,0,0,0.0393558304172189,3.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.9% de probabilidade de violência organizada em 2024 para North Korea (risco muito baixo)."
Kiribati,Asia,2023,2024,0,0,0,0.0388045390438279,3.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.9% de probabilidade de violência organizada em 2024 para Kiribati (risco muito baixo)."
Gabon,Africa,2023,2024,0,0,0,0.0385944795240558,3.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.9% de probabilidade de violência organizada em 2024 para Gabon (risco muito baixo)."
Dominican Republic,Americas,2023,2024,0,0,0,0.037561812632453,3.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.8% de probabilidade de violência organizada em 2024 para Dominican Republic (risco muito baixo)."
Cuba,Americas,2023,2024,0,0,0,0.0366549514681241,3.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.7% de probabilidade de violência organizada em 2024 para Cuba (risco muito baixo)."
Guyana,Americas,2023,2024,0,0,0,0.0355019616503741,3.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.6% de probabilidade de violência organizada em 2024 para Guyana (risco muito baixo)."
Cape Verde,Africa,2023,2024,0,0,0,0.0339920950765509,3.4%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.4% de probabilidade de violência organizada em 2024 para Cape Verde (risco muito baixo)."
Turkmenistan,Asia,2023,2024,0,0,0,0.0338045569530824,3.4%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.4% de probabilidade de violência organizada em 2024 para Turkmenistan (risco muito baixo)."
Sweden,Europe,2023,2024,0,0,0,0.0331223999837482,3.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.3% de probabilidade de violência organizada em 2024 para Sweden (risco muito baixo)."
Nauru,Asia,2023,2024,0,0,0,0.0329370836994606,3.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.3% de probabilidade de violência organizada em 2024 para Nauru (risco muito baixo)."
Maldives,Asia,2023,2024,0,0,0,0.0323562054797461,3.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.2% de probabilidade de violência organizada em 2024 para Maldives (risco muito baixo)."
Tonga,Asia,2023,2024,0,0,0,0.0321443724624582,3.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.2% de probabilidade de violência organizada em 2024 para Tonga (risco muito baixo)."
Mongolia,Asia,2023,2024,0,0,0,0.0319774868713953,3.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.2% de probabilidade de violência organizada em 2024 para Mongolia (risco muito baixo)."
Grenada,Americas,2023,2024,0,0,0,0.0319406484113319,3.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.2% de probabilidade de violência organizada em 2024 para Grenada (risco muito baixo)."
Kazakhstan,Asia,2023,2024,0,0,0,0.031647941925444,3.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.2% de probabilidade de violência organizada em 2024 para Kazakhstan (risco muito baixo)."
Netherlands,Europe,2023,2024,0,0,0,0.0314787503297624,3.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.1% de probabilidade de violência organizada em 2024 para Netherlands (risco muito baixo)."
Vanuatu,Asia,2023,2024,0,0,0,0.0313662672553133,3.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.1% de probabilidade de violência organizada em 2024 para Vanuatu (risco muito baixo)."
Seychelles,Africa,2023,2024,0,0,0,0.0306778755792149,3.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.1% de probabilidade de violência organizada em 2024 para Seychelles (risco muito baixo)."
Samoa (Western Samoa),Asia,2023,2024,0,0,0,0.0297367735121438,3.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 3.0% de probabilidade de violência organizada em 2024 para Samoa (Western Samoa) (risco muito baixo)."
Saint Lucia,Americas,2023,2024,0,0,0,0.0294827305283897,2.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.9% de probabilidade de violência organizada em 2024 para Saint Lucia (risco muito baixo)."
Belarus,Europe,2023,2024,0,0,0,0.0289216546085373,2.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.9% de probabilidade de violência organizada em 2024 para Belarus (risco muito baixo)."
Fiji,Asia,2023,2024,0,0,0,0.0281017039209504,2.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.8% de probabilidade de violência organizada em 2024 para Fiji (risco muito baixo)."
Marshall Islands,Asia,2023,2024,0,0,0,0.0280789827461973,2.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.8% de probabilidade de violência organizada em 2024 para Marshall Islands (risco muito baixo)."
Czech Republic,Europe,2023,2024,0,0,0,0.0280677624442509,2.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.8% de probabilidade de violência organizada em 2024 para Czech Republic (risco muito baixo)."
Bulgaria,Europe,2023,2024,0,0,0,0.0279546922427285,2.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.8% de probabilidade de violência organizada em 2024 para Bulgaria (risco muito baixo)."
Qatar,Middle East,2023,2024,0,0,0,0.0276532213716117,2.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.8% de probabilidade de violência organizada em 2024 para Qatar (risco muito baixo)."
Chile,Americas,2023,2024,0,0,0,0.0275831664992067,2.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.8% de probabilidade de violência organizada em 2024 para Chile (risco muito baixo)."
Mauritius,Africa,2023,2024,0,0,0,0.0274805536371683,2.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.7% de probabilidade de violência organizada em 2024 para Mauritius (risco muito baixo)."
Estonia,Europe,2023,2024,0,0,0,0.0273009026699373,2.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.7% de probabilidade de violência organizada em 2024 para Estonia (risco muito baixo)."
Palau,Asia,2023,2024,0,0,0,0.0268930154659169,2.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.7% de probabilidade de violência organizada em 2024 para Palau (risco muito baixo)."
Latvia,Europe,2023,2024,0,0,0,0.026855016414194,2.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.7% de probabilidade de violência organizada em 2024 para Latvia (risco muito baixo)."
Lithuania,Europe,2023,2024,0,0,0,0.026416429221392,2.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.6% de probabilidade de violência organizada em 2024 para Lithuania (risco muito baixo)."
Dominica,Americas,2023,2024,0,0,0,0.0264114297385566,2.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.6% de probabilidade de violência organizada em 2024 para Dominica (risco muito baixo)."
Tuvalu,Asia,2023,2024,0,0,0,0.0260766819045528,2.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.6% de probabilidade de violência organizada em 2024 para Tuvalu (risco muito baixo)."
Hungary,Europe,2023,2024,0,0,0,0.0256458415283678,2.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.6% de probabilidade de violência organizada em 2024 para Hungary (risco muito baixo)."
Brunei,Asia,2023,2024,0,0,0,0.0254695103836335,2.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.5% de probabilidade de violência organizada em 2024 para Brunei (risco muito baixo)."
Montenegro,Europe,2023,2024,0,0,0,0.0254660439739757,2.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.5% de probabilidade de violência organizada em 2024 para Montenegro (risco muito baixo)."
Slovakia,Europe,2023,2024,0,0,0,0.0250810543343175,2.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.5% de probabilidade de violência organizada em 2024 para Slovakia (risco muito baixo)."
Antigua & Barbuda,Americas,2023,2024,0,0,0,0.0241133388180375,2.4%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.4% de probabilidade de violência organizada em 2024 para Antigua & Barbuda (risco muito baixo)."
South Korea,Asia,2023,2024,0,0,0,0.0235185875692553,2.4%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.4% de probabilidade de violência organizada em 2024 para South Korea (risco muito baixo)."
Japan,Asia,2023,2024,0,0,0,0.0232624286784286,2.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.3% de probabilidade de violência organizada em 2024 para Japan (risco muito baixo)."
Greece,Europe,2023,2024,0,0,0,0.0225728904550336,2.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.3% de probabilidade de violência organizada em 2024 para Greece (risco muito baixo)."
Barbados,Americas,2023,2024,0,0,0,0.0224942035483381,2.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.2% de probabilidade de violência organizada em 2024 para Barbados (risco muito baixo)."
Portugal,Europe,2023,2024,0,0,0,0.0219837101250701,2.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.2% de probabilidade de violência organizada em 2024 para Portugal (risco muito baixo)."
Bahamas,Americas,2023,2024,0,0,0,0.0216279034916775,2.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.2% de probabilidade de violência organizada em 2024 para Bahamas (risco muito baixo)."
Uruguay,Americas,2023,2024,0,0,0,0.0214599863743793,2.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.1% de probabilidade de violência organizada em 2024 para Uruguay (risco muito baixo)."
Costa Rica,Americas,2023,2024,0,0,0,0.0212891120692634,2.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.1% de probabilidade de violência organizada em 2024 para Costa Rica (risco muito baixo)."
Kosovo,Europe,2023,2024,0,0,0,0.0210393755916189,2.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.1% de probabilidade de violência organizada em 2024 para Kosovo (risco muito baixo)."
Slovenia,Europe,2023,2024,0,0,0,0.0209394477713394,2.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.1% de probabilidade de violência organizada em 2024 para Slovenia (risco muito baixo)."
Cyprus,Europe,2023,2024,0,0,0,0.0206253527230931,2.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.1% de probabilidade de violência organizada em 2024 para Cyprus (risco muito baixo)."
San Marino,Europe,2023,2024,0,0,0,0.0203941503479223,2.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.0% de probabilidade de violência organizada em 2024 para San Marino (risco muito baixo)."
Andorra,Europe,2023,2024,0,0,0,0.0196862106251017,2.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.0% de probabilidade de violência organizada em 2024 para Andorra (risco muito baixo)."
New Zealand,Asia,2023,2024,0,0,0,0.0195658611840887,2.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 2.0% de probabilidade de violência organizada em 2024 para New Zealand (risco muito baixo)."
Saint Vincent and the Grenadines,Americas,2023,2024,0,0,0,0.0190573155672387,1.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.9% de probabilidade de violência organizada em 2024 para Saint Vincent and the Grenadines (risco muito baixo)."
Saint Kitts and Nevis,Americas,2023,2024,0,0,0,0.0182541030201539,1.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.8% de probabilidade de violência organizada em 2024 para Saint Kitts and Nevis (risco muito baixo)."
Singapore,Asia,2023,2024,0,0,0,0.0165646273509724,1.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.7% de probabilidade de violência organizada em 2024 para Singapore (risco muito baixo)."
Finland,Europe,2023,2024,0,0,0,0.012999107598731,1.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.3% de probabilidade de violência organizada em 2024 para Finland (risco muito baixo)."
Denmark,Europe,2023,2024,0,0,0,0.0118285859585803,1.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.2% de probabilidade de violência organizada em 2024 para Denmark (risco muito baixo)."
Ireland,Europe,2023,2024,0,0,0,0.0112008614330559,1.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.1% de probabilidade de violência organizada em 2024 para Ireland (risco muito baixo)."
Iceland,Europe,2023,2024,0,0,0,0.0102129479447022,1.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.0% de probabilidade de violência organizada em 2024 para Iceland (risco muito baixo)."
Norway,Europe,2023,2024,0,0,0,0.0101383398396143,1.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 1.0% de probabilidade de violência organizada em 2024 para Norway (risco muito baixo)."
Switzerland,Europe,2023,2024,0,0,0,0.0091471087883847,0.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 0.9% de probabilidade de violência organizada em 2024 para Switzerland (risco muito baixo)."
Luxembourg,Europe,2023,2024,0,0,0,0.0059112728107215,0.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 0.6% de probabilidade de violência organizada em 2024 para Luxembourg (risco muito baixo)."
Liechtenstein,Europe,2023,2024,0,0,0,0.0020830992890395,0.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 0.2% de probabilidade de violência organizada em 2024 para Liechtenstein (risco muito baixo)."
Monaco,Europe,2023,2024,0,0,0,0.0008963354878484,0.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 0.1% de probabilidade de violência organizada em 2024 para Monaco (risco muito baixo)."
